uniq_id,product_name,manufacturer,price,number_available_in_stock,number_of_reviews,number_of_answered_questions,average_review_rating,
eac7efa5dbd3d667f26eb3d3ab504464,Hornby 2014 Catalogue,Hornby,£3.42,5 new,15,1,4.9,
b17540ef7e86e461d37f3ae58b7b72ac,FunkyBuysÂ® Large Christmas Holiday Express Festive Train Set (SI-TY1017) Toy Light / Sounds / Battery Operated & Smoke,FunkyBuys,£16.99,,2,1,4.5,
348f344247b0c1a935b1223072ef9d8a,CLASSIC TOY TRAIN SET TRACK CARRIAGES LIGHT ENGINE BOXED BOYS KIDS BATTERY,ccf,£9.99,2 new,17,2,3.9,
e12b92dbb8eaee78b22965d2a9bbbd9f,HORNBY Coach R4410A BR Hawksworth Corridor 3rd,Hornby,£39.99,,1,2,5.0,
e33a9adeed5f36840ccc227db4682a36,Hornby 00 Gauge 0-4-0 Gildenlow Salt Co. Steam Locomotive Model,Hornby,£32.19,,3,2,4.7,
cb34f0a84102c1ebc3ef6892d7444d36,20pcs Model Garden Light Double Heads Lamppost Scale 1:100,Generic,£6.99,,2,1,5.0,
f74b562470571dfb689324adf236f82c,Hornby 00 Gauge 230mm BR Bogie Passenger Brake Coach Model (Red),Hornby,£24.99,,2,1,4.5,
87bbb472ef9d90dcef140a551665c929,Hornby Santa's Express Train Set,Hornby,£69.93,3 new,36,7,4.3,
7e2aa2b4596a39ba852449718413d7cc,Hornby Gauge Western Express Digital Train Set with eLink and TTS Loco Train Set,Hornby,£235.58,4 new,1,1,5.0,
5afbaf65680c9f378af5b3a3ae22427e,Learning Curve Chuggington Interactive Chatsworth,Chuggington,,1 new,8,1,4.8,
5c76389a8c302c6d7d6e179393031b97,Hornby Gauge Railroad Mosley Tarmacadam Locomotive,Hornby,£27.49,6 new,1,1,5.0,
878048c41f3c249badb3704e160b4c6e,Kato (USA) 176-1308 F3B Denver & Rio Grande Western,Kato (USA),£273.60,,1,1,5.0,
f910c6542ededa5abf81787c0fd87c99,Bachmann 37-662 14 Ton Tank Wagon Pease & Partners Red,Bachmann,£9.60,2 new,1,1,5.0,
03a35de3f7af9814978e6de645cb8ffa,Hornby 00 Gauge 253mm Weathered Paviland Grange Steam Locomotive Train Model,Hornby,£119.50,2 new,3,1,5.0,
c68c3ae3b0ea3146beae99f3d4a6997c,Kato 3060-2 EF65 500 (F Model) Electric Locomotive,Kato,,18 new,1,1,5.0,
d27964f50577db8e46f2069b050c62c6,Glacier Express of N gauge 10-1219 Alps [UNESCO paint color] 7 Car Set,Kato,,12 new,1,1,5.0,
c3b2f6ec9cf6250c960c26ee8ad33509,Power Trains Freight Industrial (Pack of 4),Power Trains,,2 new,2,1,4.5,
e9ef14a0253f074343b5441540d8471f,Chuggington Interactive Wash and Fuel Set with Brewster Train Toy,Chuggington,,1 used,2,1,4.0,
0ca63377ca8015e585efa1d418f04756,Kumoyuni 74-0 Shonan Color (Model Train),Kato,£17.08,26 new,1,1,4.0,
42d20aa25e5902eff9f5d307bb38230e,Bachmann 31-588 Freightliner Class 70 005 Powerhaul Diesel Weathered,Bachmann,£96.05,2 new,1,1,5.0,
4aaa27925929708a6b56fd7e46b35208,Preiser 30495 Horse Drawn Wedding Coach (Closed),Preiser,£27.55,,1,1,5.0,
81b3ad5c07a31fa67e4dc8643afa3275,Preiser 30414 Horse Drawn Liquid Manure Wagon,Preiser,£24.50,2 new,1,1,5.0,
26de90be8191b92ea208c2111c7090cd,Bachmann Class A2 60534 'Irish Elegance' BR Lined Green Early Emblem,Bachmann,£149.92,,1,1,5.0,
4eb5ea748ea030b14c3d1789f9578133,Plarail - S-29 Steam Locomotive Type C61-20 w/Head Light (Model Train),Takara Tomy,£12.87,37 new,1,1,5.0,
