num_passengers,sales_channel,trip_type,booking_class,purchase_lead_time_days,length_of_stay,flight_hour,flight_day,departure_airport,arrival_airport,booking_origin,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,flight_duration_hrs,booking_complete,ticket_price_$
1,Internet,RoundTrip,Admiral,21,12,6,Tue,AKL,HGH,Australia,0,0,0,7.21,1,4527
2,Internet,RoundTrip,Economy,262,19,7,Sat,AKL,DEL,New Zealand,1,0,0,5.52,0,1081
1,Internet,RoundTrip,Economy,112,20,3,Sat,AKL,DEL,New Zealand,0,0,0,5.52,0,396
2,Internet,RoundTrip,Economy,243,22,17,Wed,AKL,DEL,India,1,1,0,5.52,0,333
1,Internet,RoundTrip,Business,96,31,4,Sat,AKL,DEL,New Zealand,0,0,1,5.52,0,3002
2,Internet,RoundTrip,Economy,68,22,15,Wed,AKL,DEL,India,1,0,1,5.52,0,1438
1,Internet,RoundTrip,Economy,3,48,20,Thu,AKL,DEL,New Zealand,1,0,1,5.52,0,1387
3,Internet,RoundTrip,Admiral,201,33,6,Thu,AKL,DEL,New Zealand,1,0,1,5.52,0,3873
2,Internet,RoundTrip,Economy,238,19,14,Mon,AKL,DEL,India,1,0,1,5.52,0,1852
1,Internet,RoundTrip,Admiral,80,22,4,Mon,AKL,DEL,New Zealand,0,0,1,5.52,0,4995
1,Mobile,RoundTrip,Admiral,378,30,12,Sun,AKL,DEL,India,0,0,0,5.52,0,4583
2,Internet,RoundTrip,Admiral,185,25,14,Tue,AKL,DEL,United Kingdom,1,1,1,5.52,0,4970
1,Internet,RoundTrip,Business,8,43,2,Sat,AKL,DEL,New Zealand,1,1,1,5.52,0,3239
4,Internet,RoundTrip,Economy,265,24,19,Mon,AKL,DEL,New Zealand,1,0,1,5.52,0,1455
1,Internet,RoundTrip,Business,185,17,14,Fri,AKL,DEL,India,0,0,0,5.52,0,3046
1,Internet,RoundTrip,Economy,245,34,4,Tue,AKL,DEL,New Zealand,1,1,1,5.52,0,1017
1,Internet,RoundTrip,Business,192,18,14,Thu,AKL,DEL,India,1,0,0,5.52,0,2286
1,Internet,RoundTrip,Economy,259,37,6,Sun,AKL,DEL,India,0,0,0,5.52,0,1715
1,Internet,RoundTrip,Admiral,19,29,10,Sat,AKL,DEL,New Zealand,0,0,1,5.52,0,3585
1,Internet,RoundTrip,Economy,67,155,8,Sun,AKL,DEL,New Zealand,1,0,0,5.52,0,1573
