Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,VehicleCategory,PolicyNumber,RepNumber,Deductible,DriverRating,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AddressChange_Claim,NumberOfCars,BasePolicy,VehiclePrice,PastNumberOfClaims,FraudFound_P
Dec,5,Wednesday,Honda,Urban,Tuesday,Jan,1,Female,Single,21,Policy Holder,Sport,1,12,300,1,3 years,26 to 30,No,No,1 year,4,Liability,71957,0,0
Jan,3,Wednesday,Honda,Urban,Monday,Jan,4,Male,Single,34,Policy Holder,Sport,2,15,400,4,6 years,31 to 35,Yes,No,no change,1,Collision,78154,0,0
Oct,5,Friday,Honda,Urban,Thursday,Nov,2,Male,Married,47,Policy Holder,Sport,3,7,400,3,7 years,41 to 50,No,No,no change,1,Collision,89281,1,0
Jun,2,Saturday,Toyota,Rural,Friday,Jul,1,Male,Married,65,Third Party,Sport,4,4,400,2,more than 7,51 to 65,Yes,No,no change,1,Liability,21201,1,0
Jan,5,Monday,Honda,Urban,Tuesday,Feb,2,Female,Single,27,Third Party,Sport,5,3,400,1,5 years,31 to 35,No,No,no change,1,Collision,69310,0,0
Oct,4,Friday,Honda,Urban,Wednesday,Nov,1,Male,Single,20,Third Party,Sport,6,12,400,3,5 years,21 to 25,No,No,no change,1,Collision,93540,0,0
Feb,1,Saturday,Honda,Urban,Monday,Feb,3,Male,Married,36,Third Party,Sport,7,14,400,1,7 years,36 to 40,No,No,no change,1,Collision,74619,1,0
Nov,1,Friday,Honda,Urban,Tuesday,Mar,4,Male,Single,0,Policy Holder,Sport,8,1,400,4,new,16 to 17,No,No,no change,1,Collision,77355,1,0
Dec,4,Saturday,Honda,Urban,Wednesday,Dec,5,Male,Single,30,Policy Holder,Sport,9,7,400,4,6 years,31 to 35,No,Yes,no change,1,Collision,87637,0,0
Apr,3,Tuesday,Ford,Urban,Wednesday,Apr,3,Male,Married,42,Policy Holder,Utility,10,7,400,1,more than 7,36 to 40,No,No,no change,1,All Perils,69502,3,0
Mar,2,Sunday,Mazda,Urban,Wednesday,Mar,3,Male,Single,71,Policy Holder,Sedan,11,7,400,3,more than 7,over 65,No,No,no change,1,All Perils,74775,0,0
Mar,5,Monday,Honda,Urban,Monday,Mar,5,Male,Married,52,Policy Holder,Sport,12,13,400,1,more than 7,41 to 50,No,No,no change,1,Liability,21222,2,0
Jan,3,Friday,Ford,Urban,Friday,Jan,3,Male,Married,28,Policy Holder,Sport,13,11,400,1,7 years,31 to 35,No,No,no change,1,Liability,88239,1,0
Jan,5,Friday,Honda,Rural,Wednesday,Feb,1,Male,Single,0,Third Party,Sedan,14,12,400,3,new,16 to 17,No,No,no change,1,Collision,73277,0,0
Jan,5,Monday,Ford,Urban,Thursday,Feb,1,Male,Married,61,Policy Holder,Sport,15,3,400,1,more than 7,51 to 65,No,No,no change,1,Liability,98731,0,0
Aug,4,Tuesday,Ford,Urban,Monday,Aug,5,Male,Single,38,Policy Holder,Sport,16,16,400,1,6 years,36 to 40,No,No,no change,1,Liability,70844,0,0
Apr,4,Thursday,Ford,Urban,Wednesday,May,1,Male,Married,41,Policy Holder,Sedan,17,15,400,4,7 years,36 to 40,No,No,no change,1,All Perils,71264,0,0
Jul,5,Sunday,Chevrolet,Urban,Wednesday,Aug,1,Female,Married,28,Third Party,Sedan,18,6,400,1,7 years,31 to 35,No,No,no change,1,Collision,28586,0,0
May,4,Thursday,Pontiac,Urban,Monday,May,5,Male,Single,32,Policy Holder,Sport,19,6,400,1,7 years,31 to 35,No,No,no change,1,Liability,25652,1,0
Apr,4,Monday,Honda,Urban,Tuesday,May,1,Male,Married,30,Third Party,Sport,20,2,400,2,6 years,31 to 35,No,No,no change,1,Liability,98695,3,0
Apr,2,Friday,Mazda,Urban,Tuesday,May,1,Male,Married,40,Policy Holder,Sport,21,3,400,1,more than 7,36 to 40,No,No,no change,1,Liability,25329,1,0
Jan,2,Saturday,Chevrolet,Urban,Monday,Jan,2,Male,Married,47,Policy Holder,Sedan,22,13,400,2,more than 7,41 to 50,No,No,4 to 8 years,2,Collision,28924,1,0
Aug,3,Sunday,Mazda,Urban,Thursday,Aug,5,Male,Married,63,Policy Holder,Sport,23,8,400,3,more than 7,51 to 65,No,No,no change,1,Liability,20005,1,0
Jun,3,Saturday,Pontiac,Urban,Tuesday,Jun,3,Male,Single,31,Third Party,Sport,24,5,400,3,6 years,31 to 35,No,No,no change,1,Liability,36339,0,0
Sep,3,Friday,Mazda,Urban,Friday,Sep,3,Male,Married,45,Policy Holder,Sedan,25,12,400,3,more than 7,36 to 40,Yes,No,no change,1,All Perils,74967,5,0
Mar,3,Monday,Pontiac,Urban,Tuesday,Apr,1,Male,Married,60,Policy Holder,Sport,26,16,400,4,more than 7,51 to 65,No,No,no change,1,Liability,26230,10,0
Mar,3,Thursday,Honda,Urban,Thursday,Jun,4,Male,Married,21,Policy Holder,Sedan,27,1,400,2,5 years,26 to 30,No,No,no change,1,Collision,31737,8,0
May,3,Sunday,Accura,Urban,Friday,May,4,Male,Married,42,Policy Holder,Sedan,28,1,400,3,7 years,36 to 40,No,No,no change,1,All Perils,30064,2,0
Jul,1,Saturday,Honda,Urban,Tuesday,Sep,4,Male,Single,0,Policy Holder,Sedan,29,9,400,1,new,16 to 17,No,No,no change,1,All Perils,72678,0,1
May,3,Monday,Mazda,Urban,Wednesday,May,4,Female,Married,39,Policy Holder,Sedan,30,12,400,3,7 years,36 to 40,No,No,no change,1,Collision,24651,0,0
Mar,2,Friday,Dodge,Urban,Saturday,Mar,2,Male,Married,47,Policy Holder,Sedan,31,2,400,1,more than 7,41 to 50,No,No,no change,1,Collision,33479,4,0
Mar,1,Sunday,Honda,Urban,Tuesday,Mar,2,Male,Single,0,Policy Holder,Sedan,32,6,400,1,new,16 to 17,No,No,no change,1,Collision,79475,1,0
