,Customer_ID,Age,Subscription_Length_(months),Monthly_Fee,Usage_Rate,Referral_Count,Customer_Satisfaction,Service_Tier,Payment_Method,Active_Status,Auto-Renewal,Join_Date,Annual_Expenditure,Average_Monthly_Discount,Profitability
0,1,56,21,100.0,5,2,1,VIP,Credit Card,False,False,2024-03-13,1200.0,0.0,50.0
1,2,69,16,90.0,17,4,5,VIP,Credit Card,False,True,2023-07-22,1080.0,10.0,153.0
2,3,46,21,100.0,3,4,1,VIP,Credit Card,True,False,2022-09-29,1200.0,0.0,30.0
3,4,32,18,100.0,13,4,4,VIP,Bank Transfer,False,False,2024-08-06,1200.0,0.0,130.0
4,5,60,9,75.0,1,0,1,Premium,Credit Card,True,False,2023-06-09,900.0,0.0,7.5
5,6,25,4,25.0,14,8,3,VIP,Venmo,True,False,2024-03-24,300.0,0.0,35.0
6,7,38,9,100.0,14,0,4,VIP,Bank Transfer,True,False,2024-01-27,1200.0,0.0,140.0
7,8,56,2,25.0,18,1,5,Premium,Credit Card,True,False,2022-10-13,300.0,0.0,45.0
8,9,36,9,100.0,13,1,4,VIP,Credit Card,False,False,2023-04-29,1200.0,0.0,130.0
9,10,40,9,100.0,6,2,3,VIP,Bank Transfer,True,False,2023-11-25,1200.0,0.0,60.0
10,11,28,18,30.0,18,5,5,Basic,PayPal,True,False,2024-06-11,360.0,0.0,54.0
11,12,28,11,30.0,10,9,3,Basic,Venmo,True,False,2024-04-28,360.0,0.0,30.0
12,13,41,13,67.5,19,4,4,Premium,Bank Transfer,True,True,2024-03-14,810.0,7.5,128.25
13,14,53,6,100.0,9,0,4,VIP,Credit Card,False,True,2023-01-27,1200.0,0.0,90.0
14,15,57,9,90.0,10,4,3,VIP,Bank Transfer,False,True,2023-01-19,1080.0,10.0,90.0
15,16,41,16,90.0,20,4,5,VIP,Credit Card,False,True,2024-06-02,1080.0,10.0,180.0
16,17,20,4,25.0,21,5,4,Premium,Venmo,False,True,2023-08-17,300.0,0.0,52.5
17,18,39,2,25.0,0,1,2,Premium,Credit Card,False,True,2024-05-12,300.0,0.0,0.0
18,19,19,7,27.0,14,5,4,Basic,Venmo,False,True,2024-03-20,324.0,3.0,37.800000000000004
19,20,41,15,67.5,7,3,3,Premium,Bank Transfer,False,True,2023-07-13,810.0,7.5,47.25
20,21,61,6,75.0,5,3,3,Premium,Credit Card,True,False,2022-11-30,900.0,0.0,37.5
21,22,47,11,100.0,11,3,3,VIP,Credit Card,True,False,2024-03-29,1200.0,0.0,110.0
22,23,55,20,67.5,8,2,4,Premium,Credit Card,False,True,2024-02-19,810.0,7.5,54.0
23,24,19,17,100.0,13,7,4,VIP,PayPal,True,False,2023-05-13,1200.0,0.0,130.0
24,25,38,4,25.0,5,1,1,VIP,Bank Transfer,True,True,2022-10-16,300.0,0.0,12.5
25,26,50,19,90.0,2,0,1,VIP,Bank Transfer,True,True,2024-08-10,1080.0,10.0,18.0
26,27,29,7,50.0,11,6,3,Standard,Venmo,True,False,2024-05-14,600.0,0.0,55.0
27,28,39,11,67.5,20,3,5,Premium,Bank Transfer,False,True,2023-07-29,810.0,7.5,135.0
