battery_power_mAh,clock_speed,dual_sim,front_cam_mp,5G,int_memory_gb,thickness_cm,weight_grams,n_cores,back_cam_mp,ram_mb,screen_height_cm,screen_width_cm,talk_time_hrs,condition,price
1650,2.3,no,0,1,38,0.7,89,1,1,324,14,10,2,fair,92
1093,1.1,yes,0,0,42,0.4,114,1,4,2856,12,3,2,good,263
1934,2.6,yes,0,1,46,0.1,103,1,17,2940,13,9,2,like_new,498
825,0.5,yes,0,1,23,0.1,86,2,0,3278,8,6,2,excellent,309
1156,2.3,yes,0,1,3,1,95,2,0,3786,11,1,2,like_new,453
663,0.8,yes,0,0,25,0.6,183,2,1,3176,6,2,2,good,263
954,0.5,no,0,0,50,0.3,134,2,11,438,17,0,2,parts_only,32
947,0.8,yes,0,1,22,0.1,197,2,13,2842,16,12,2,good,263
861,0.6,yes,0,0,40,0.1,132,2,13,3931,18,14,2,excellent,339
1318,1.9,yes,0,1,11,0.8,188,2,15,1780,12,10,2,fair,149
595,2.6,no,0,1,20,0.4,122,2,18,1593,19,11,2,fair,55
1745,2.9,no,0,1,3,0.9,105,3,0,1308,5,0,2,good,179
1179,2.1,no,0,0,2,0.3,93,3,0,1435,19,13,2,fair,92
1140,0.9,yes,0,0,40,0.1,119,3,1,3386,13,4,2,good,263
530,0.5,yes,0,0,47,0.5,93,3,2,3455,19,8,2,like_new,399
1254,1.7,no,0,1,45,0.4,146,3,3,606,7,2,2,good,162
1074,1.2,no,0,0,45,0.8,193,3,6,874,11,7,2,fair,35
1979,2.9,yes,0,1,19,1,176,3,9,411,8,2,2,fair,99
805,1.7,yes,0,1,58,0.9,168,3,10,3397,7,6,2,excellent,279
1488,1.8,no,0,1,2,0.1,124,4,0,3349,17,6,2,like_new,399
1635,2.6,yes,0,1,2,0.6,182,4,0,2315,10,1,2,excellent,299
914,0.5,no,0,1,26,0.7,147,4,0,1122,12,9,2,fair,69
559,0.5,yes,0,1,24,0.8,103,4,5,2023,14,1,2,fair,132
1076,2.3,yes,0,1,14,0.7,191,5,0,2355,17,16,2,excellent,299
1606,0.5,yes,0,1,33,0.9,200,5,0,3437,11,1,2,excellent,309
1642,1.6,yes,0,0,5,0.4,102,5,2,1333,18,0,2,excellent,279
642,0.5,no,0,1,38,0.8,86,5,10,435,9,2,2,fair,57
1259,1.2,no,0,1,61,0.5,82,5,15,1415,10,1,2,fair,149
1376,2.4,yes,0,1,34,0.4,167,6,1,3922,5,0,2,like_new,399
574,2,yes,0,1,26,0.5,118,6,2,1303,8,4,2,fair,49
1867,2.3,no,0,1,9,0.1,191,6,3,990,6,1,2,good,149
1280,1.3,no,0,1,39,1,108,7,1,2335,6,4,2,good,149
1910,1.4,no,0,0,29,0.6,146,7,2,2944,8,7,2,excellent,289
1036,2.4,no,0,0,39,0.2,119,7,3,2101,10,7,2,good,162
1694,0.6,no,0,1,34,0.3,102,7,7,2298,17,5,2,excellent,289
958,0.5,yes,0,1,47,0.7,116,8,0,1706,6,2,2,fair,149
1648,0.5,no,1,1,17,0.9,142,2,3,1184,6,2,2,good,109
1754,1.7,yes,1,1,58,0.9,197,3,17,1446,18,3,2,good,162
812,0.5,yes,1,0,64,1,106,4,7,3102,6,0,2,good,245
589,2.3,yes,1,0,61,0.6,160,4,10,2113,13,7,2,good,149
702,1.2,yes,1,0,38,1,82,5,7,3131,11,9,2,fair,263
530,2.6,no,1,0,40,0.9,118,6,2,1229,16,11,2,fair,99
1038,0.5,yes,1,0,48,0.2,99,6,2,1073,5,4,2,fair,35
1604,1.2,no,1,0,6,0.5,191,6,15,3564,7,2,2,like_new,409
1652,1.5,yes,1,0,57,0.1,175,6,17,489,12,2,2,fair,75
1483,2.1,no,1,1,54,0.2,176,7,2,1851,15,13,2,fair,162
1661,0.8,yes,1,1,6,1,109,7,2,864,9,8,2,fair,132
1540,0.7,yes,1,0,60,0.8,197,7,12,1591,19,0,2,good,132
1048,1.5,no,2,1,29,1,182,1,4,2146,11,10,2,fair,149
564,0.5,no,2,0,33,0.6,192,1,6,2573,13,6,2,excellent,289
786,1.8,yes,2,0,28,0.5,198,1,7,331,14,2,2,fair,49
796,0.5,no,2,0,12,0.5,114,1,8,1075,7,3,2,fair,69
1325,1.9,no,2,0,50,0.1,146,1,10,2328,17,10,2,excellent,279
1159,2.1,no,2,1,27,0.7,137,1,15,3258,8,0,2,like_new,399
894,0.7,no,2,1,58,0.1,123,2,3,3305,12,7,2,good,259
1897,1.9,no,2,1,54,0.3,154,2,7,412,17,11,2,fair,49
774,0.5,yes,2,1,10,0.5,188,2,9,2944,8,6,2,excellent,289
504,2.8,yes,2,0,54,0.4,163,2,10,2378,17,11,2,excellent,282
1117,0.5,yes,2,0,21,0.1,177,2,19,1999,15,9,2,good,132
920,0.5,no,2,0,46,0.8,149,3,3,2608,6,0,2,good,223
1406,0.5,yes,2,1,34,0.8,98,3,5,3915,9,8,2,excellent,339
1815,2.8,no,2,0,33,0.6,159,4,17,1482,18,0,2,fair,149
1170,2.9,yes,2,0,40,0.4,169,6,5,2366,16,8,2,good,189
790,2.1,yes,2,1,29,0.7,106,6,11,557,11,2,2,fair,85
1981,0.5,no,2,0,19,0.4,123,7,3,3663,15,0,2,like_new,339
1384,1.3,yes,3,1,62,0.4,153,1,5,3386,19,1,2,like_new,409
643,0.7,yes,3,1,23,0.8,156,1,9,2096,13,6,2,fair,132
1078,2.5,no,3,0,56,0.6,158,2,6,3471,10,2,2,like_new,399
759,2.5,no,3,1,39,0.3,162,2,8,968,6,2,2,fair,55
582,0.5,yes,3,0,27,0.2,168,3,10,2437,19,2,2,excellent,289
