,Company Name,Employee Job Title,Employee Gender,Employee Age,Employee Physical Location,Employee Work Location,Retention Priority,Employee Salary,Employment Status,"Last Performance Rating (5=best, 1=worst)",Retained
0,IBM,Front End Developer,m,43,Bombay,onsite,2,441000,Full Time,4.5,1
1,Microsoft,Back End Developer,m,20,New York,hybrid,5,508000,Full Time,3.4,1
2,Apple,Software Development Engineer,m,36,Sydney,remote,2,81000,Full Time,4.9,0
3,Uber,Front End Developer,m,44,Munich,remote,3,430000,Full Time,3.8,0
4,IBM,Android Developer,f,34,Bombay,hybrid,1,691000,Full Time,3.5,1
5,Mastercard,IOS Developer,other,37,London,onsite,2,107000,Part-Time,3.1,0
6,Uber,Back End Developer,f,19,Tokyo,hybrid,4,872000,Full Time,0.0,1
7,Mastercard,Software Development Engineer,m,33,Munich,hybrid,3,628000,Intern,0.6,0
8,Amazon,Test Engineer,other,22,Bombay,remote,1,475000,Part-Time,3.9,1
9,Cognizant,Back End Developer,f,30,Manchester,remote,3,609000,Full Time,0.4,0
10,Google,IOS Developer,f,39,Tokyo,hybrid,5,896000,Part-Time,1.7,1
11,Cognizant,Research Engineer,other,26,London,hybrid,4,564000,Full Time,3.1,1
12,Google,Front End Developer,f,36,New York,hybrid,4,520000,Part-Time,4.2,0
13,Microsoft,Test Engineer,other,29,Dubai,hybrid,5,300000,Intern,4.6,1
14,Infosys,Software Development Engineer,m,25,Tokyo,hybrid,3,261000,Part-Time,3.9,0
15,Microsoft,Python Developer,f,45,Dubai,onsite,5,174000,Part-Time,2.8,1
16,Infosys,IOS Developer,m,27,Sydney,remote,5,468000,Part-Time,1.7,1
17,Apple,Data Analyst,m,52,New York,onsite,1,898000,Full Time,2.7,0
18,Google,Front End Developer,m,37,California,remote,4,831000,Part-Time,1.7,0
19,Microsoft,Front End Developer,f,51,Tokyo,onsite,5,127000,Part-Time,4.5,1
20,Infosys,Research Engineer,f,42,Bombay,remote,3,430000,Intern,4.9,1
21,Infosys,Software Development Engineer,other,49,California,hybrid,3,627000,Intern,1.6,0
22,Cognizant,Front End Developer,f,24,New York,hybrid,4,251000,Intern,3.4,1
23,Mastercard,IOS Developer,m,38,Dubai,remote,5,867000,Part-Time,0.6,1
24,Microsoft,Python Developer,f,31,Bombay,remote,2,231000,Part-Time,1.8,1
25,Google,IOS Developer,f,28,Sydney,hybrid,4,839000,Full Time,3.9,0
26,Cognizant,Research Engineer,m,50,Munich,remote,1,768000,Full Time,1.1,1
27,Uber,Test Engineer,m,38,Bombay,remote,2,814000,Full Time,4.3,1
28,Amazon,Back End Developer,other,48,California,remote,2,727000,Part-Time,4.2,1
29,Mastercard,Research Engineer,m,24,California,remote,2,810000,Full Time,3.5,1
30,Mastercard,Android Developer,other,47,New York,remote,5,329000,Full Time,3.5,1
31,IBM,Research Engineer,other,55,California,remote,3,312000,Full Time,4.8,0
32,Wipro,Software Development Engineer,f,23,London,remote,5,208000,Intern,2.8,1
33,Wipro,Android Developer,m,29,New York,hybrid,2,32000,Full Time,0.8,0
34,Google,Data Analyst,other,53,Bombay,hybrid,5,534000,Part-Time,2.8,1
35,Amazon,Android Developer,f,45,Manchester,onsite,2,280000,Full Time,0.1,0
36,Wipro,Test Engineer,m,38,Tokyo,onsite,1,213000,Part-Time,3.2,1
37,Mastercard,Front End Developer,m,53,Manchester,hybrid,3,525000,Intern,4.4,0
38,Infosys,Python Developer,f,23,Bombay,remote,4,72000,Full Time,0.7,1
39,Apple,Data Analyst,f,29,Bombay,hybrid,5,681000,Full Time,2.9,0
40,Uber,Research Engineer,m,32,Tokyo,remote,4,451000,Part-Time,3.9,0
41,Microsoft,Data Analyst,other,47,Moscow,remote,2,892000,Full Time,4.7,1
42,Mastercard,Back End Developer,f,48,Sydney,hybrid,5,462000,Part-Time,3.1,0
43,Microsoft,Android Developer,other,43,Moscow,onsite,1,492000,Full Time,4.5,0
44,Google,IOS Developer,other,40,California,hybrid,4,775000,Part-Time,3.0,1
45,Apple,Full Stack Developer,other,47,London,onsite,2,870000,Intern,1.7,0
46,Cognizant,Research Engineer,other,33,London,remote,3,564000,Full Time,2.1,1
47,Wipro,Front End Developer,f,24,New York,remote,4,607000,Full Time,3.9,1
48,Mastercard,Data Analyst,other,51,Manchester,onsite,4,155000,Part-Time,1.8,0
49,Uber,IOS Developer,m,47,Tokyo,hybrid,4,20000,Part-Time,4.8,1
50,Uber,Back End Developer,m,53,California,onsite,3,791000,Full Time,3.3,1
51,Microsoft,Software Development Engineer,m,22,Sydney,hybrid,5,346000,Part-Time,4.9,0
52,Amazon,Test Engineer,m,48,New York,remote,4,420000,Part-Time,2.1,0
53,Mastercard,Back End Developer,other,55,Bombay,hybrid,2,964000,Part-Time,2.8,0
54,Amazon,Python Developer,other,19,California,remote,3,648000,Full Time,2.2,1
55,Mastercard,Full Stack Developer,other,33,Munich,onsite,2,41000,Full Time,3.0,0
56,Google,Front End Developer,f,46,New York,remote,3,625000,Intern,1.6,0
57,Uber,Software Development Engineer,m,52,London,onsite,4,483000,Part-Time,2.4,1
58,Amazon,Android Developer,f,36,Tokyo,hybrid,4,901000,Full Time,1.0,1
59,Infosys,Python Developer,other,39,Manchester,onsite,3,515000,Full Time,2.1,0
60,Microsoft,Test Engineer,f,30,California,remote,4,936000,Intern,2.7,0
61,IBM,Full Stack Developer,m,45,Sydney,onsite,1,728000,Full Time,1.9,1
62,Apple,Front End Developer,f,19,Tokyo,hybrid,1,33000,Intern,0.1,1
63,Amazon,Front End Developer,m,41,London,hybrid,5,322000,Part-Time,0.3,0
64,Amazon,Back End Developer,f,45,Dubai,remote,4,33000,Full Time,3.7,0
65,Uber,Test Engineer,m,26,Moscow,hybrid,3,628000,Full Time,0.6,0
66,Infosys,Software Development Engineer,m,27,Manchester,onsite,1,14000,Full Time,2.7,1
67,Wipro,IOS Developer,f,33,Moscow,remote,4,221000,Full Time,4.8,1
