AppID,Name,Developer,Publisher,Genre,Categories,Owners,Positive_Reviews,Negative_Reviews,Price_USD,Initial_Price_USD,Discount_Percent,Peak_Concurrent_Players,Platforms,Release_Date,Required_Age,Avg_Rating_5,Playability_Index_10
10,Counter-Strike,Valve,Valve,Action,"Multi-player, Valve Anti-Cheat enabled, Online PvP, Shared/Split Screen PvP, PvP","10,000,000 .. 20,000,000",201215,5199,9.99,9.99,0,13990,"windows, mac, linux",11/1/2000,0,3.87,6.54
20,Team Fortress Classic,Valve,Valve,Action,"Multi-player, Valve Anti-Cheat enabled, Online PvP, Shared/Split Screen PvP, Remote Play Together, PvP","1,000,000 .. 2,000,000",5835,934,4.99,4.99,0,101,"windows, mac, linux",4/1/1999,0,3.92,8.15
30,Day of Defeat,Valve,Valve,Action,"Multi-player, Valve Anti-Cheat enabled","5,000,000 .. 10,000,000",5251,569,4.99,4.99,0,142,"windows, mac, linux",5/1/2003,0,4.9,7.25
40,Deathmatch Classic,Valve,Valve,Action,"Multi-player, Valve Anti-Cheat enabled, Online PvP, Shared/Split Screen PvP, Remote Play Together, PvP","5,000,000 .. 10,000,000",1961,437,4.99,4.99,0,3,"windows, mac, linux",6/1/2001,0,4.69,8.12
50,Half-Life: Opposing Force,Gearbox Software,Valve,Action,"Multi-player, Single-player, Valve Anti-Cheat enabled, Remote Play Together","5,000,000 .. 10,000,000",14887,756,4.99,4.99,0,106,"windows, mac, linux",11/1/1999,0,2.84,2.35
60,Ricochet,Valve,Valve,Action,"Multi-player, Valve Anti-Cheat enabled, Online PvP, PvP","5,000,000 .. 10,000,000",3859,856,4.99,4.99,0,5,"windows, mac, linux",11/1/2000,0,2.27,8.69
70,Half-Life,Valve,Valve,Action,"Multi-player, Single-player, Valve Anti-Cheat enabled, Steam Cloud, Online PvP, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, PvP","10,000,000 .. 20,000,000",75882,2695,9.99,9.99,0,575,"windows, mac, linux",11/8/1998,0,4.5,4.42
80,Counter-Strike: Condition Zero,Valve,Valve,Action,"Multi-player, Single-player, Valve Anti-Cheat enabled","5,000,000 .. 10,000,000",19629,1894,9.99,9.99,0,513,"windows, mac, linux",3/1/2004,0,4.94,8.77
130,Half-Life: Blue Shift,Gearbox Software,Valve,Action,"Single-player, Remote Play Together","5,000,000 .. 10,000,000",10626,1003,4.99,4.99,0,39,"windows, mac, linux",6/1/2001,0,3.69,2.64
220,Half-Life 2,Valve,Valve,Action,"Single-player, Captions available, Includes Source SDK, Partial Controller Support, Steam Achievements, Steam Cloud, Steam Trading Cards, Remote Play on Phone, Remote Play on Tablet, Remote Play Together","10,000,000 .. 20,000,000",146352,3785,9.99,9.99,0,1015,"windows, mac, linux",11/16/2004,0,4.5,1.22
