Product_ID,Customer_ID,Review_ID,Price,Discount_Amount,Review_Length,Delivery_Time,Verified_Purchase,Review_Date,Customer_Age_Group,Product_Category,Product_Name,Contains_Image,Rating
1,1444,5001,49.19,25.0,58,11.6,False,2024-02-21,18-24,Electronics,Digital Photo Frame,False,4
2,1112,5002,32.84,50.0,481,7.6,False,2024-01-16,18-24,Electronics,Electronic Cigarette,True,4
3,4391,5003,80.23,25.0,483,9.3,False,2024-07-22,18-24,Electronics,Smart Light Bulb,True,4
4,2714,5004,67.22,25.0,357,1.7,False,2024-05-11,18-24,Electronics,Smart Speaker,False,4
5,5738,5005,33.0,25.0,420,14.1,False,2024-06-20,18-24,Home Goods,Laundry Basket,False,5
6,3202,5006,82.86,10.0,446,3.8,False,2024-04-23,18-24,Electronics,Bluetooth Speaker,True,4
7,2945,5007,45.32,10.0,294,2.3,False,2024-06-12,18-24,Home Goods,Dining Chairs,True,5
8,8410,5008,21.6,50.0,123,12.1,True,2024-02-03,18-24,Apparel,Poncho,False,4
9,1011,5009,50.17,50.0,256,2.1,False,2024-01-28,18-24,Electronics,Bluetooth Speaker,True,4
10,7198,5010,25.57,25.0,274,3.3,True,2024-03-29,18-24,Electronics,Wireless Charger,False,3
11,6869,5011,19.18,10.0,403,4.4,False,2024-08-06,18-24,Electronics,Bluetooth Speaker,True,3
12,8163,5012,91.21,10.0,229,13.7,True,2024-08-25,18-24,Electronics,Action Camera Accessories,True,4
13,9104,5013,42.24,10.0,456,2.4,False,2024-08-22,18-24,Home Goods,Coffee Maker,False,4
14,6290,5014,47.67,10.0,177,2.5,True,2024-05-11,18-24,Electronics,Bluetooth Earbuds,False,5
15,7555,5015,93.32,10.0,410,14.8,False,2024-02-21,18-24,Electronics,Digital Audio Player,False,4
16,7841,5016,40.62,50.0,327,10.9,True,2024-04-07,18-24,Electronics,Smart Thermostat,False,3
17,8813,5017,22.58,25.0,265,2.0,True,2024-04-21,18-24,Home Goods,Dishwasher Safe Container,True,5
18,3653,5018,70.33,50.0,435,11.4,True,2024-06-10,18-24,Electronics,Electric Toothbrush,True,3
19,3012,5019,41.68,25.0,426,7.4,False,2024-06-08,18-24,Home Goods,Mirror,True,5
20,3191,5020,55.68,10.0,339,14.7,True,2024-05-16,18-24,Electronics,Headphones,True,4
21,7345,5021,48.92,50.0,462,9.9,False,2024-08-02,18-24,Home Goods,End Table,True,3
22,1969,5022,37.83,10.0,99,6.9,False,2024-05-26,18-24,Home Goods,Chair,False,5
23,2723,5023,24.49,50.0,55,13.0,True,2024-07-12,18-24,Apparel,Shorts,True,4
24,9629,5024,15.25,50.0,488,8.1,True,2024-02-08,18-24,Home Goods,Laundry Basket,False,5
25,3431,5025,82.66,10.0,183,5.4,False,2024-01-15,18-24,Electronics,Smart Light Bulb,True,3
26,5364,5026,45.15,25.0,255,14.1,False,2024-05-16,18-24,Electronics,TV,True,4
27,7205,5027,69.91,25.0,178,14.7,True,2024-02-20,18-24,Electronics,Noise Cancelling Headphones,True,3
28,7176,5028,44.75,25.0,357,11.2,False,2024-06-15,18-24,Home Goods,Dish Rack,False,4
29,3611,5029,37.19,25.0,350,10.3,False,2024-02-02,18-24,Apparel,Trench Coat,True,5
30,7241,5030,49.21,10.0,310,12.6,True,2024-08-26,18-24,Apparel,Tracksuit,True,5
31,2877,5031,28.93,25.0,312,15.0,False,2024-04-16,18-24,Apparel,Vest,False,4
32,5093,5032,48.56,25.0,185,1.3,True,2024-06-26,18-24,Electronics,Mouse,True,4
33,1437,5033,30.23,10.0,228,14.7,True,2024-08-22,18-24,Apparel,Thermal Underwear,False,3
34,2769,5034,55.02,10.0,158,8.1,True,2024-04-19,18-24,Electronics,Camera,False,4
35,5310,5035,46.46,25.0,168,3.5,True,2024-05-25,18-24,Home Goods,Chair,False,3
36,8549,5036,28.81,10.0,454,8.0,False,2024-08-15,18-24,Electronics,Camera,False,5
37,7009,5037,11.98,50.0,292,6.9,True,2024-03-24,18-24,Apparel,Bomber Jacket,False,4
38,9199,5038,29.63,10.0,397,3.3,False,2024-03-16,18-24,Electronics,Electronic Scale,True,3
39,4556,5039,98.06,25.0,85,3.8,True,2024-01-17,18-24,Electronics,Digital Camera,True,3
40,1177,5040,43.31,50.0,231,2.1,False,2024-08-15,18-24,Electronics,Wireless Charger,True,4
41,4276,5041,34.96,25.0,451,4.7,False,2024-04-06,18-24,Home Goods,Outdoor Furniture,True,5
42,2522,5042,99.32,25.0,302,10.1,True,2024-04-15,18-24,Electronics,Electric Toothbrush,True,4
43,6388,5043,11.67,25.0,238,12.3,False,2024-08-09,18-24,Apparel,Sun Hat,False,4
44,6391,5044,43.04,10.0,149,4.1,False,2024-06-28,18-24,Home Goods,Wall Art,False,4
45,5756,5045,78.33,50.0,92,1.4,True,2024-07-24,18-24,Electronics,TV,True,4
46,5052,5046,41.61,10.0,78,2.8,False,2024-07-31,18-24,Apparel,Workout Pants,True,4
47,4165,5047,75.3,25.0,388,14.6,True,2024-03-27,18-24,Electronics,Laptop,False,4
48,2277,5048,47.25,25.0,375,9.8,False,2024-02-12,18-24,Electronics,Electronic Scale,True,3
49,7211,5049,93.05,10.0,332,13.6,False,2024-02-27,18-24,Electronics,Keyboard,True,5
50,3906,5050,24.06,10.0,98,6.5,False,2024-08-03,18-24,Electronics,Smartwatch,True,4
51,8909,5051,28.47,25.0,378,1.3,True,2024-02-28,18-24,Home Goods,Storage Containers,False,4
52,4422,5052,54.34,25.0,425,14.8,False,2024-04-22,18-24,Electronics,Smart Lock,False,3
53,4286,5053,29.97,50.0,294,7.5,True,2024-01-10,18-24,Home Goods,Dining Chairs,True,3
54,2702,5054,39.89,50.0,75,2.7,False,2024-05-13,18-24,Apparel,Jeans,True,5
55,1239,5055,13.74,50.0,462,12.8,True,2024-01-17,18-24,Apparel,Poncho,True,3
56,5945,5056,10.01,50.0,196,12.2,False,2024-04-28,18-24,Apparel,Pajamas,True,4
57,3827,5057,72.99,25.0,345,7.3,False,2024-03-25,18-24,Electronics,TV,True,3
58,3711,5058,15.53,10.0,152,3.1,True,2024-03-22,18-24,Apparel,Coat,True,4
59,9411,5059,27.27,25.0,448,2.9,False,2024-03-17,18-24,Home Goods,Bookshelf,False,4
60,2266,5060,15.44,25.0,144,6.9,False,2024-01-03,18-24,Electronics,Smartwatch,True,5
61,9147,5061,25.44,25.0,366,11.2,False,2024-06-23,18-24,Apparel,Bomber Jacket,True,5
62,7383,5062,33.99,25.0,416,2.7,True,2024-07-09,18-24,Apparel,Socks,True,5
63,7827,5063,96.32,10.0,151,13.2,True,2024-01-27,18-24,Electronics,Gaming Headset,True,3
64,1936,5064,25.41,25.0,61,3.1,False,2024-08-29,18-24,Electronics,Mouse,True,5
65,6245,5065,16.66,25.0,474,13.9,False,2024-05-04,18-24,Apparel,Jacket,False,3
66,9684,5066,92.49,25.0,427,4.6,False,2024-06-21,18-24,Electronics,Smart Thermostat,True,5
67,1131,5067,25.64,25.0,57,6.0,False,2024-08-17,18-24,Electronics,Wi-Fi Extender,True,3
68,1433,5068,22.21,50.0,381,3.3,True,2024-07-08,18-24,Home Goods,Toaster,True,4
69,5689,5069,21.19,50.0,436,13.7,False,2024-02-09,18-24,Apparel,Scarf,False,4
70,1586,5070,41.98,50.0,425,14.5,True,2024-07-03,18-24,Home Goods,Garbage Bin,False,5
71,7770,5071,25.22,50.0,375,3.7,False,2024-08-28,18-24,Home Goods,Kitchen Island,True,5
72,5968,5072,16.12,50.0,129,6.6,True,2024-06-01,18-24,Electronics,Streaming Device,True,5
73,9322,5073,57.38,10.0,141,9.4,True,2024-08-17,18-24,Electronics,Mouse,True,5
74,6995,5074,27.48,10.0,429,2.0,True,2024-03-31,18-24,Electronics,Digital Photo Frame,True,4
75,6923,5075,45.8,10.0,310,14.3,False,2024-03-13,18-24,Apparel,Fleece Jacket,False,5
76,2660,5076,77.71,10.0,222,8.1,False,2024-08-26,18-24,Electronics,Portable Charger,True,4
77,2058,5077,35.53,25.0,284,14.7,False,2024-08-05,18-24,Home Goods,Storage Bench,False,5
78,9246,5078,38.77,50.0,144,5.0,True,2024-05-05,18-24,Apparel,T-Shirt,False,5
79,2396,5079,46.29,25.0,347,2.8,True,2024-06-29,18-24,Apparel,Workout Pants,True,5
80,6886,5080,28.5,10.0,208,7.5,False,2024-08-08,18-24,Electronics,Printer,False,5
81,4178,5081,38.49,10.0,199,11.9,True,2024-04-30,18-24,Electronics,Wi-Fi Extender,True,4
82,2324,5082,34.44,25.0,437,3.7,True,2024-02-09,18-24,Apparel,Baseball Cap,False,3
83,2449,5083,35.41,50.0,107,5.9,False,2024-06-20,18-24,Apparel,Beanie,False,3
84,2257,5084,36.1,50.0,57,7.9,True,2024-03-06,18-24,Apparel,Rain Boots,False,3
85,9958,5085,24.39,10.0,88,8.2,True,2024-03-07,18-24,Electronics,Digital Photo Frame,True,4
86,2673,5086,37.25,50.0,316,12.9,False,2024-07-13,18-24,Apparel,T-Shirt,True,3
87,2434,5087,83.17,25.0,294,6.5,False,2024-01-19,18-24,Electronics,USB Drive,True,5
88,4409,5088,26.68,10.0,164,3.5,True,2024-06-10,18-24,Electronics,Home Security Camera,False,3
89,3205,5089,78.83,10.0,385,2.1,False,2024-06-02,18-24,Electronics,Wireless Charger,True,4
90,9203,5090,37.93,10.0,428,8.4,False,2024-08-17,18-24,Home Goods,Coffee Table,True,3
91,3239,5091,42.25,50.0,321,13.9,False,2024-08-17,18-24,Home Goods,Toaster,False,5
